Longitude (Deg),Velocity Components (km/s): vx,Altitude (km),Date/Time - Peak Brightness (UT),Calculated Total Impact Energy (kt),Velocity Components (km/s): vy,Latitude (Deg),Velocity Components (km/s): vz,Velocity (km/s),Total Radiated Energy (J)
157.9,,,1427996378.0,0.14,,8.4,,,42000000000
-105.2,,,1347372450.0,0.17,,-18.9,,,52000000000
174.8,,,1334995703.0,0.42,,-15.8,,,143000000000
-139.1,12.2,26.7,1430360461.0,0.32,-4.2,-48.7,0.9,,105000000000
-172.3,,27.2,1343333990.0,0.12,,63.1,,,34000000000
10.6,,,1336139689.0,0.63,,76.7,,,229000000000
-107.4,,25.2,1335189670.0,0.15,,36.2,,,44000000000
-41.5,0.8,26.8,1343173700.0,0.39,2,36.4,-18.4,,133000000000
39.6,-15.3,37.4,1429551771.0,0.27,12.8,37.7,7.4,,88000000000
135.5,-0.8,33.3,1337051057.0,0.39,1.1,-61.8,17,,132000000000
